Created with UCDetector 2.0.0	2021-02-08 14:18:53	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
Location	Description	Java	Marker	Author
CustomerSimulator.Simulator.<init>(Simulator.java:8)	Change visibility of Class "Simulator" to default - May cause compile errors!	Simulator	org.ucdetector.analyzeMarkerVisibilityDefault	
CustomerSimulator.Simulator.run(Simulator.java:9)	Change visibility of Method "Simulator.run(double,int,int,double,double,double,*,*,*)" to private	Simulator.run(double,int,int,double,double,double,*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.Main.<init>(Main.java:3)	Class "Main" has 0 references	Main	org.ucdetector.analyzeMarkerReference	
CustomerSimulator.controller.Arrive.<init>(Arrive.java:6)	Change visibility of Class "Arrive" to default - May cause compile errors!	Arrive	org.ucdetector.analyzeMarkerVisibilityDefault	
CustomerSimulator.controller.Arrive.Arrive(Arrive.java:13)	Change visibility of Constructor "Arrive.Arrive(Store,EventQueue,double)" to private	Arrive.Arrive(Store,EventQueue,double)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.controller.Arrive.run(Arrive.java:19)	Change visibility of Method "Arrive.run()" to private	Arrive.run()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.controller.Event.<init>(Event.java:6)	Change visibility of Class "Event" to default - May cause compile errors!	Event	org.ucdetector.analyzeMarkerVisibilityDefault	
CustomerSimulator.controller.Event.Event(Event.java:14)	Change visibility of Constructor "Event.Event(Store,EventQueue,double)" to private	Event.Event(Store,EventQueue,double)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.controller.Pick.<init>(Pick.java:6)	Change visibility of Class "Pick" to default - May cause compile errors!	Pick	org.ucdetector.analyzeMarkerVisibilityDefault	
CustomerSimulator.controller.Pick.Pick(Pick.java:11)	Change visibility of Constructor "Pick.Pick(Store,EventQueue,double,Customer,*)" to private	Pick.Pick(Store,EventQueue,double,Customer,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.controller.Pick.run(Pick.java:18)	Change visibility of Method "Pick.run()" to private	Pick.run()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.controller.StoreClose.<init>(StoreClose.java:6)	Change visibility of Class "StoreClose" to default - May cause compile errors!	StoreClose	org.ucdetector.analyzeMarkerVisibilityDefault	
CustomerSimulator.controller.StoreClose.StoreClose(StoreClose.java:10)	Change visibility of Constructor "StoreClose.StoreClose(Store,EventQueue,double)" to private	StoreClose.StoreClose(Store,EventQueue,double)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.controller.StoreClose.run(StoreClose.java:16)	Change visibility of Method "StoreClose.run()" to private	StoreClose.run()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.controller.Pay.<init>(Pay.java:7)	Change visibility of Class "Pay" to default - May cause compile errors!	Pay	org.ucdetector.analyzeMarkerVisibilityDefault	
CustomerSimulator.controller.Pay.Pay(Pay.java:13)	Change visibility of Constructor "Pay.Pay(Store,EventQueue,double,Customer,*)" to private	Pay.Pay(Store,EventQueue,double,Customer,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.controller.Pay.run(Pay.java:20)	Change visibility of Method "Pay.run()" to private	Pay.run()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.controller.StoreOpen.<init>(StoreOpen.java:6)	Change visibility of Class "StoreOpen" to default - May cause compile errors!	StoreOpen	org.ucdetector.analyzeMarkerVisibilityDefault	
CustomerSimulator.controller.StoreOpen.StoreOpen(StoreOpen.java:11)	Change visibility of Constructor "StoreOpen.StoreOpen(Store,EventQueue,double)" to private	StoreOpen.StoreOpen(Store,EventQueue,double)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.controller.StoreOpen.run(StoreOpen.java:17)	Change visibility of Method "StoreOpen.run()" to private	StoreOpen.run()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.controller.EventQueue.<init>(EventQueue.java:5)	Change visibility of Class "EventQueue" to default - May cause compile errors!	EventQueue	org.ucdetector.analyzeMarkerVisibilityDefault	
CustomerSimulator.controller.EventQueue.addEvent(EventQueue.java:8)	Change visibility of Method "EventQueue.addEvent(Event)" to private	EventQueue.addEvent(Event)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.controller.EventQueue.removeEvent(EventQueue.java:39)	Change visibility of Method "EventQueue.removeEvent()" to private	EventQueue.removeEvent()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Store.<init>(Store.java:12)	Change visibility of Class "Store" to default - May cause compile errors!	Store	org.ucdetector.analyzeMarkerVisibilityDefault	
CustomerSimulator.models.Store.Store(Store.java:42)	Change visibility of Constructor "Store.Store(double,int,int,double,double[],*,*,*)" to private	Store.Store(double,int,int,double,double[],*,*,*)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Store.closeStore(Store.java:72)	Change visibility of Method "Store.closeStore()" to private	Store.closeStore()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Store.addCustomer(Store.java:88)	Change visibility of Method "Store.addCustomer(Customer)" to private	Store.addCustomer(Customer)	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Store.increasePeopleInStore(Store.java:100)	Change visibility of Method "Store.increasePeopleInStore()" to private	Store.increasePeopleInStore()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Store.decreasePeopleInStore(Store.java:104)	Change visibility of Method "Store.decreasePeopleInStore()" to private	Store.decreasePeopleInStore()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Store.increaseTotAmountOfCustomers(Store.java:112)	Change visibility of Method "Store.increaseTotAmountOfCustomers()" to private	Store.increaseTotAmountOfCustomers()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Store.increaseMissedCustomers(Store.java:120)	Change visibility of Method "Store.increaseMissedCustomers()" to private	Store.increaseMissedCustomers()	org.ucdetector.analyzeMarkerVisibilityPrivate	
CustomerSimulator.models.Store.update(Store.java:128)	Change visibility of Method "Store.update()" to private	Store.update()	org.ucdetector.analyzeMarkerVisibilityPrivate	
